corpus_id,old_author,new_author,old_title,new_title,evidence
BGH030,Dawn The Storm Was Over; And When The Ferryman Returned To His,Lafcadio Hearn (translator/reteller),BLOWING HER BREATH UPON HIM,BLOWING HER BREATH UPON HIM,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH102,Arthur Machen[3],Arthur Machen,Dr Duthoit'S Vision,Dr Duthoit'S Vision,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH112,Arnold Bennett[2],Arnold Bennett,The Ghost Of Lord Clarenceux,The Ghost Of Lord Clarenceux,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH113,Joseph Glanvil[11],Joseph Glanvil,The Ghost Of Major Sydenham,The Ghost Of Major Sydenham,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH118,Joseph Glanvil[12],Joseph Glanvil,The Iron Chest Of Durley,The Iron Chest Of Durley,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH122,Greville Macdonald[5],Greville MacDonald,The Pool In The Graveyard,The Pool In The Graveyard,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH130,Author unresolved,Laurence Sterne,A Mystery with a Moral,A Mystery with a Moral,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH131,Author unresolved,Anonymous,Bourgonef,Bourgonef,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH132,Author unresolved,Charles Robert Maturin,Melmoth the Wanderer,Melmoth the Wanderer,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH133,"Reason Of My Tender Age (And There Are Some Critics Who, I Hope,",William Makepeace Thackeray,On Being Found Out,On Being Found Out,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH134,Author unresolved,Thomas De Quincey,The Avenger,The Avenger,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH135,Author unresolved,Anonymous,The Closed Cabinet,The Closed Cabinet,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH136,Author unresolved,Edward Bulwer-Lytton,The Incantation,The Incantation,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH137,Author unresolved,William Makepeace Thackeray,The Notch on the Ax,The Notch on the Ax,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH139,Author unresolved,Anonymous,ANONYMOUS,Back from That Bourne,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH158,Author unresolved,Fiona Macleod (William Sharp),GREEN BRANCHES,GREEN BRANCHES,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH159,Author unresolved,E. T. A. Hoffmann,THE DESERTED HOUSE,THE DESERTED HOUSE,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH161,Author unresolved,Erckmann-Chatrian,THE MYSTERIOUS SKETCH,THE MYSTERIOUS SKETCH,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH163,Author unresolved,A. T. Quiller-Couch,THE ROLL-CALL OF THE REEF,THE ROLL-CALL OF THE REEF,Source-container heading/table of contents; see v0.3 attribution audit notes.
BGH169,Author unresolved,Guy de Maupassant,From the Tomb,From the Tomb,Source-container heading/table of contents; see v0.3 attribution audit notes.
