corpus_id,title,author,first_publication_year,genre,corpus_status,market_status,date_status,apparition_class,ghost_role,mediating_object,haunting_site,ontological_certainty,outlier_flag,source_id,source_container,source_url,boundary_method,word_count,sha256,local_text_file,notes,corpus_layer,recovery_priority,gender_inference_status,publication_route,digitization_route,inclusion_rationale,credited_author,compiler_editor,translator_reteller,oral_source_or_informant,source_community_or_tradition,author_gender,author_geography,colonial_relation,original_language,pseudonym_or_collaboration,attribution_certainty,text_quality_status,screening_version,version_action
BGH001,Madam Crowl's Ghost,Joseph Sheridan Le Fanu,1870,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11610,PG11610_Madam_Crowl_s_Ghost_and_the_Dead_Sexton.txt,https://www.gutenberg.org/ebooks/11610,manual_boundary,6047,4568240f8e0b8ffaa425133b862d54051e581c06092a8f4c44cc235e079379e7,texts/BGH001_Joseph_Sheridan_Le_Fanu_Madam_Crowl_s_Ghost.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH002,The Dead Sexton,Joseph Sheridan Le Fanu,1871,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11610,PG11610_Madam_Crowl_s_Ghost_and_the_Dead_Sexton.txt,https://www.gutenberg.org/ebooks/11610,manual_boundary,7236,f28e82d3eefcc4407f1c0256b145230e58baccbae710119d72130ad92b6bb5da,texts/BGH002_Joseph_Sheridan_Le_Fanu_The_Dead_Sexton.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH003,An Account of Some Strange Disturbances in Aungier Street,Joseph Sheridan Le Fanu,1853,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11699,PG11699_J_S_Le_Fanu_s_Ghostly_Tales_Volume_1.txt,https://www.gutenberg.org/ebooks/11699,manual_boundary,8490,dac6a1974eb062c75edcd5bf0c13876a150fbdf74aaab16db493939afbf78d7d,texts/BGH003_Joseph_Sheridan_Le_Fanu_An_Account_of_Some_Strange_Disturbances_in_Aungier_Street.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH004,Schalken the Painter,Joseph Sheridan Le Fanu,1851,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11699,PG11699_J_S_Le_Fanu_s_Ghostly_Tales_Volume_1.txt,https://www.gutenberg.org/ebooks/11699,manual_boundary,8031,6fff923d726ad3b410f13bfc89f2c7230c2a2d8994c61732a9e57fe70af1e90e,texts/BGH004_Joseph_Sheridan_Le_Fanu_Schalken_the_Painter.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH005,An Authentic Narrative of a Haunted House,Joseph Sheridan Le Fanu,1862,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11700,PG11700_J_S_Le_Fanu_s_Ghostly_Tales_Volume_2.txt,https://www.gutenberg.org/ebooks/11700,manual_boundary,5467,3fb2f04af8cc3464a5de1472699f6599eceec38bb8e08a96c96f6937f57c32fa,texts/BGH005_Joseph_Sheridan_Le_Fanu_An_Authentic_Narrative_of_a_Haunted_House.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH006,Ultor De Lacy: A Legend of Cappercullen,Joseph Sheridan Le Fanu,1861,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11700,PG11700_J_S_Le_Fanu_s_Ghostly_Tales_Volume_2.txt,https://www.gutenberg.org/ebooks/11700,manual_boundary,9226,b6ee2803d4a77dc90e97326c1785b2d8d7a4023a32df1cf4101abe89ee386a59,texts/BGH006_Joseph_Sheridan_Le_Fanu_Ultor_De_Lacy_A_Legend_of_Cappercullen.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH007,The Haunted Baronet,Joseph Sheridan Le Fanu,1871,novella / novel,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG11750,PG11750_J_S_Le_Fanu_s_Ghostly_Tales_Volume_3.txt,https://www.gutenberg.org/ebooks/11750,whole autonomous work,50762,b369d9e926af8ae483ac553d697dacb16d42e5e0d3e843a672a60f7966cc4db7,texts/BGH007_Joseph_Sheridan_Le_Fanu_The_Haunted_Baronet.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH008,The Jolly Corner,Henry James,1908,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1190,PG1190_The_Jolly_Corner.txt,https://www.gutenberg.org/ebooks/1190,whole autonomous work,14183,34dceda4cbcbc950501dab5a6a2d4a2e3818647cbf56c3545ba25552df8049d4,texts/BGH008_Henry_James_The_Jolly_Corner.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Henry James,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH009,Ghost Stories of Chapelizod,Joseph Sheridan Le Fanu,1851,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG12647,PG12647_J_S_Le_Fanu_s_Ghostly_Tales_Volume_4.txt,https://www.gutenberg.org/ebooks/12647,manual_boundary,10132,2dd1226a16a43c74d1af217462d721f0d33bf32eb07742177f9c2a5e06ca8c05,texts/BGH009_Joseph_Sheridan_Le_Fanu_Ghost_Stories_of_Chapelizod.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH010,The Drunkard's Dream,Joseph Sheridan Le Fanu,1838,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG12647,PG12647_J_S_Le_Fanu_s_Ghostly_Tales_Volume_4.txt,https://www.gutenberg.org/ebooks/12647,manual_boundary,5010,42ca9e7de3409aa28409012a223858a871f677d51514f4087bba58ac6b71a00d,texts/BGH010_Joseph_Sheridan_Le_Fanu_The_Drunkard_s_Dream.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
