corpus_id,author,title,year,decision,ghost_test,outlier_flag,text_quality_status,source_url
BGH286,Charlotte Riddell,Walnut-Tree House,1882,include,A perceptible or materially effective dead-returning agent is narratively central.,,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/21/Weird_Stories.pdf
BGH287,Charlotte Riddell,The Open Door,1882,include,A perceptible or materially effective dead-returning agent is narratively central.,,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/21/Weird_Stories.pdf
BGH288,Charlotte Riddell,Nut-Bush Farm,1882,include,A perceptible or materially effective dead-returning agent is narratively central.,,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/21/Weird_Stories.pdf
BGH289,Charlotte Riddell,The Old House in Vauxhall Walk,1882,include,A perceptible or materially effective dead-returning agent is narratively central.,,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/21/Weird_Stories.pdf
BGH290,Charlotte Riddell,Sandy the Tinker,1882,include,A perceptible or materially effective dead-returning agent is narratively central.,,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/21/Weird_Stories.pdf
BGH291,Charlotte Riddell,Old Mrs. Jones,1882,include,A perceptible or materially effective dead-returning agent is narratively central.,,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/21/Weird_Stories.pdf
BGH292,Charlotte Riddell,Fairy Water: A Christmas Story,1873,include,A perceptible or materially effective dead-returning agent is narratively central.,long-form work,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/1/16/Fairy_Water%2C_A_Christmas_Story.pdf
BGH293,Charlotte Riddell,The Haunted River,1877,include,A perceptible or materially effective dead-returning agent is narratively central.,long-form work,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/2/29/The_Uninhabited_House_and_The_Haunted_River.pdf
BGH294,Charlotte Riddell,The Disappearance of Mr. Jeremiah Redworth,1878,include,A perceptible or materially effective dead-returning agent is narratively central.,long-form work,OCR draft; proofreading against scan required before quotation,https://upload.wikimedia.org/wikipedia/commons/a/a0/The_Disappearance_of_Mr._Jeremiah_Redworth.pdf
BGH295,Lal Behari Day,The Ghost-Brahman,1883,include,A perceptible or materially effective dead-returning agent is narratively central.,colonial folklore archive / translated oral source,clean public-domain transcription,https://www.gutenberg.org/ebooks/38488
BGH296,Lal Behari Day,A Ghostly Wife,1883,include,A perceptible or materially effective dead-returning agent is narratively central.,colonial folklore archive / translated oral source,clean public-domain transcription,https://www.gutenberg.org/ebooks/38488
BGH297,Lal Behari Day,The Story of a Brahmadaitya,1883,include,A perceptible or materially effective dead-returning agent is narratively central.,colonial folklore archive / translated oral source,clean public-domain transcription,https://www.gutenberg.org/ebooks/38488
BGH298,Lal Behari Day,The Ghost Who Was Afraid of Being Bagged,1883,include,A perceptible or materially effective dead-returning agent is narratively central.,colonial folklore archive / translated oral source,clean public-domain transcription,https://www.gutenberg.org/ebooks/38488
BGH299,Violet Hunt,The Coach,1909,include,A perceptible or materially effective dead-returning agent is narratively central.,ghost collective / mobile haunt,clean public-domain transcription,https://www.gutenberg.org/ebooks/78605
BGH300,Mary Elizabeth Braddon,The Cold Embrace,1860,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605261.txt
BGH301,Mary Elizabeth Braddon,The Shadow in the Corner,1879,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605261.txt
BGH302,Mary Elizabeth Braddon,At Chrighton Abbey,1871,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605261.txt
BGH303,Mary Elizabeth Braddon,Eveline's Visitant,1867,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605261.txt
BGH304,Mary Cholmondeley,Let Loose,1890,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605331.txt
BGH305,Rosa Mulholland,The Haunted Organist of Hurly Burly,1866,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0606151.txt
BGH306,E. and H. Heron (Kate O'Brien Ryall Prichard and Hesketh Prichard),The Story of Saddler's Croft,1898,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605811.txt
BGH307,E. and H. Heron (Kate O'Brien Ryall Prichard and Hesketh Prichard),The Story of Baelbrow,1898,include,A perceptible or materially effective dead-returning agent is narratively central.,mummy-mediated haunt,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605811.txt
